1E4D0;1E4EA
1E4EB;
1E4EC;1E4EF
1E4F0;1E4F9
1E5D0;1E5ED
1E5EE;1E5EF
1E5F0;
1E5F1;1E5FA
1E6C0;1E6DE
1E6E0;1E6E2
1E6E3;
1E6E4;1E6E5
1E6E6;
1E6E7;1E6ED
1E6EE;1E6EF
1E6F0;1E6F4
1E6F5;
1E6FE;
1E6FF;
1E7E0;1E7E6
1E7E8;1E7EB
1E7ED;1E7EE
1E7F0;1E7FE
1E800;1E8C4
1E8D0;1E8D6
1E900;1E943
1E944;1E94A
1E94B;
1E950;1E959
1EE00;1EE03
1EE05;1EE1F
1EE21;1EE22
1EE24;
1EE27;
1EE29;1EE32
1EE34;1EE37
1EE39;
1EE3B;
1EE42;
1EE47;
1EE49;
1EE4B;
1EE4D;1EE4F
1EE51;1EE52
1EE54;
1EE57;
1EE59;
1EE5B;
1EE5D;
1EE5F;
1EE61;1EE62
1EE64;
1EE67;1EE6A
1EE6C;1EE72
1EE74;1EE77
1EE79;1EE7C
1EE7E;
1EE80;1EE89
1EE8B;1EE9B
1EEA1;1EEA3
1EEA5;1EEA9
1EEAB;1EEBB
1FBF0;1FBF9
20000;2A6DF
2A700;2B81D
2B820;2CEAD
2CEB0;2EBE0
2EBF0;2EE5D
2F800;2FA1D
30000;3134A
31350;33479
E0100;E01EF
